,Name Of The Movie,Year Of Release,IMDB Rating,Metascore,Number Of Votes,IMDB Rating Scaled to 100
2512,What Maisie Knew,2012,7.4,74,26475,74.0
2513,Sightseers,2012,6.5,69,26224,65.0
2514,Thanks for Sharing,2012,6.4,54,26177,64.0
2515,The Bay,2012,5.6,65,24880,56.0
2516,Parental Guidance,2012,6.0,36,24574,60.0
2517,Escape from Planet Earth,2012,5.9,35,24239,59.0
2518,The Angels' Share,2012,7.0,66,23162,70.0
2519,The Pact,2012,5.7,54,23036,57.0
2520,No,2012,7.4,81,22659,74.0
2521,ATM,2012,4.7,34,22494,47.0
2522,American Mary,2012,6.3,46,21897,63.0
2523,Diary of a Wimpy Kid: Dog Days,2012,6.3,54,21443,63.0
2524,Passion,2012,5.3,53,21210,53.0
2525,Sap ji sang ciu,2012,6.1,29,20914,61.0
2526,Room 237,2012,6.2,80,20661,62.0
2527,The Wolf of Wall Street,2013,8.2,75,1140482,82.0
2528,Gravity,2013,7.7,96,755362,77.0
2529,Iron Man Three,2013,7.2,62,739456,72.0
2530,Man of Steel,2013,7.0,55,678479,70.0
2531,12 Years a Slave,2013,8.1,96,624215,81.0
2532,The Hunger Games: Catching Fire,2013,7.5,76,602795,75.0
2533,The Hobbit: The Desolation of Smaug,2013,7.8,66,590576,78.0
2534,World War Z,2013,7.0,63,589871,70.0
2535,Now You See Me,2013,7.3,50,584865,73.0
2536,Thor: The Dark World,2013,6.9,54,581836,69.0
2537,Prisoners,2013,8.1,70,580599,81.0
2538,Frozen,2013,7.4,75,560362,74.0
2539,Her,2013,8.0,90,523539,80.0
2540,Oblivion,2013,7.0,54,476679,70.0
2541,The Great Gatsby,2013,7.2,55,466170,72.0
2542,Pacific Rim,2013,6.9,65,459648,69.0
2543,Star Trek Into Darkness,2013,7.7,72,458451,77.0
2544,American Hustle,2013,7.2,90,440425,72.0
2545,The Conjuring,2013,7.5,68,430171,75.0
2546,Dallas Buyers Club,2013,8.0,80,429894,80.0
2547,Rush,2013,8.1,74,422676,81.0
2548,The Wolverine,2013,6.7,61,422139,67.0
2549,Elysium,2013,6.6,61,413701,66.0
2550,Captain Phillips,2013,7.8,82,411818,78.0
2551,We're the Millers,2013,7.0,44,395104,70.0
2552,This Is the End,2013,6.6,67,378166,66.0
2553,Furious 6,2013,7.1,61,363110,71.0
2554,Despicable Me 2,2013,7.3,62,363100,73.0
2555,Monsters University,2013,7.3,65,313807,73.0
2556,Snowpiercer,2013,7.1,84,306957,71.0
2557,About Time,2013,7.8,55,289668,78.0
2558,The Secret Life of Walter Mitty,2013,7.3,54,288408,73.0
2559,The Hangover Part III,2013,5.8,30,288035,58.0
2560,Lone Survivor,2013,7.5,60,261431,75.0
2561,The World's End,2013,7.0,81,253856,70.0
2562,Olympus Has Fallen,2013,6.5,41,252670,65.0
2563,Kick-Ass 2,2013,6.5,41,250794,65.0
2564,Don Jon,2013,6.5,66,225828,65.0
2565,Escape Plan,2013,6.7,49,223532,67.0
2566,Ender's Game,2013,6.6,51,220268,66.0
2567,The Lone Ranger,2013,6.4,37,217994,64.0
2568,Warm Bodies,2013,6.9,60,216459,69.0
2569,Gangster Squad,2013,6.7,40,203764,67.0
2570,White House Down,2013,6.4,52,202932,64.0
2571,The Purge,2013,5.7,41,198148,57.0
2572,Pain & Gain,2013,6.4,45,197824,64.0
2573,Oz the Great and Powerful,2013,6.3,44,197294,63.0
2574,A Good Day to Die Hard,2013,5.3,28,195572,53.0
2575,2 Guns,2013,6.7,55,192633,67.0
2576,Hansel & Gretel: Witch Hunters,2013,6.1,23,192021,61.0
2577,After Earth,2013,4.8,33,189122,48.0
2578,Blue Jasmine,2013,7.3,78,188953,73.0
2579,The Internship,2013,6.3,42,186876,63.0
2580,The Croods,2013,7.2,55,186573,72.0
2581,Side Effects,2013,7.1,75,177606,71.0
2582,G.I. Joe: Retaliation,2013,5.8,41,171257,58.0
2583,Mama,2013,6.2,57,166658,62.0
2584,Anchorman 2: The Legend Continues,2013,6.3,61,165666,63.0
2585,Enemy,2013,6.9,61,161880,69.0
2586,The Heat,2013,6.6,60,160067,66.0
2587,RED 2,2013,6.6,47,156990,66.0
2588,Evil Dead,2013,6.5,57,153927,65.0
2589,Riddick,2013,6.4,49,151925,64.0
2590,Insidious: Chapter 2,2013,6.6,40,151250,66.0
2591,Saving Mr. Banks,2013,7.5,65,149070,75.0
2592,47 Ronin,2013,6.3,28,143596,63.0
2593,The Spectacular Now,2013,7.1,82,142017,71.0
2594,Begin Again,2013,7.4,62,139627,74.0
2595,The Way Way Back,2013,7.4,68,138325,74.0
2596,Grown Ups 2,2013,5.4,19,137610,54.0
2597,Before Midnight,2013,7.9,94,136477,79.0
2598,Inside Llewyn Davis,2013,7.5,93,135808,75.0
2599,La vie d'Adèle,2013,7.7,89,135318,77.0
2600,Locke,2013,7.1,81,131932,71.0
2601,The Last Stand,2013,6.3,54,131629,63.0
2602,Carrie,2013,5.9,53,131164,59.0
2603,Jack the Giant Slayer,2013,6.2,51,129744,62.0
2604,The Mortal Instruments: City of Bones,2013,5.9,33,126204,59.0
2605,Last Vegas,2013,6.6,48,126181,66.0
2606,Under the Skin,2013,6.3,79,126064,63.0
2607,The Book Thief,2013,7.6,53,125261,76.0
2608,Identity Thief,2013,5.7,35,122373,57.0
2609,R.I.P.D.,2013,5.6,25,115847,56.0
2610,Oculus,2013,6.5,61,114425,65.0
2611,Nymphomaniac: Vol. I,2013,6.9,64,114377,69.0
2612,Parker,2013,6.2,42,111617,62.0
2613,Nebraska,2013,7.7,87,110623,77.0
2614,The Call,2013,6.7,51,110218,67.0
2615,The Host,2013,5.9,35,109602,59.0
2616,The Family,2013,6.3,42,108825,63.0
2617,Trance,2013,6.9,61,108450,69.0
2618,Percy Jackson: Sea of Monsters,2013,5.8,39,108376,58.0
2619,The Butler,2013,7.2,65,106799,72.0
2620,Only God Forgives,2013,5.7,37,105584,57.0
2621,La migliore offerta,2013,7.8,49,105125,78.0
2622,Homefront,2013,6.5,40,105064,65.0
2623,Out of the Furnace,2013,6.8,63,104580,68.0
2624,Coherence,2013,7.2,65,103515,72.0
2625,Safe Haven,2013,6.7,34,102429,67.0
2626,Stoker,2013,6.8,58,101563,68.0
2627,Filth,2013,7.1,56,99391,71.0
2628,Epic,2013,6.7,52,98562,67.0
2629,Movie 43,2013,4.3,18,98086,43.0
2630,The Counselor,2013,5.3,48,95257,53.0
2631,Philomena,2013,7.6,77,92778,76.0
2632,Jobs,2013,5.9,44,92620,59.0
2633,Only Lovers Left Alive,2013,7.3,79,88421,73.0
2634,Bad Grandpa,2013,6.5,54,88323,65.0
2635,Cloudy with a Chance of Meatballs 2,2013,6.4,59,88054,64.0
2636,Nymphomaniac: Vol. II,2013,6.7,60,85020,67.0
2637,August: Osage County,2013,7.2,58,83375,72.0
2638,Beautiful Creatures,2013,6.1,52,82975,61.0
2639,42,2013,7.5,62,82839,75.0
2640,The Bling Ring,2013,5.6,66,82025,56.0
2641,Snitch,2013,6.4,51,81870,64.0
2642,Turbo,2013,6.4,58,81625,64.0
2643,Short Term 12,2013,8.0,82,79676,80.0
2644,La grande bellezza,2013,7.8,86,78794,78.0
2645,The Kings of Summer,2013,7.1,61,76603,71.0
2646,Horns,2013,6.5,46,75787,65.0
2647,Broken City,2013,6.2,49,74964,62.0
2648,All Is Lost,2013,6.9,87,74942,69.0
2649,Delivery Man,2013,6.4,44,74001,64.0
2650,Fruitvale Station,2013,7.5,85,73812,75.0
2651,Machete Kills,2013,5.6,41,73339,56.0
2652,21 & Over,2013,5.8,34,71298,58.0
2653,Kaze tachinu,2013,7.8,83,70069,78.0
2654,The Incredible Burt Wonderstone,2013,5.9,44,70066,59.0
2655,Dark Skies,2013,6.3,50,69559,63.0
2656,The F Word,2013,6.8,59,69165,68.0
2657,Oldboy,2013,5.7,49,67481,57.0
2658,Europa Report,2013,6.4,68,66371,64.0
2659,Blue Ruin,2013,7.1,78,64886,71.0
2660,Hummingbird,2013,6.2,43,64708,62.0
2661,Scary Movie 5,2013,3.5,11,64377,35.0
2662,Dead Man Down,2013,6.5,39,63180,65.0
2663,Blackfish,2013,8.1,83,60661,81.0
2664,Runner Runner,2013,5.6,36,60018,56.0
2665,Enough Said,2013,7.0,78,57995,70.0
2666,Grudge Match,2013,6.4,35,56903,64.0
2667,The Frozen Ground,2013,6.4,37,55719,64.0
2668,Drinking Buddies,2013,6.1,71,55446,61.0
2669,Ida,2013,7.4,91,51642,74.0
2670,The Lunchbox,2013,7.8,76,48926,78.0
2671,The East,2013,6.8,68,48086,68.0
2672,Chennai Express,2013,6.0,45,47806,60.0
2673,Odd Thomas,2013,6.8,45,46856,68.0
2674,The Big Wedding,2013,5.6,28,46628,56.0
2675,The Double,2013,6.5,68,46549,65.0
2676,Bad Words,2013,6.6,57,45905,66.0
2677,Joe,2013,6.9,74,44792,69.0
2678,The Zero Theorem,2013,6.1,50,44676,61.0
2679,Le passé,2013,7.8,85,44093,78.0
2680,A Haunted House,2013,5.0,20,42902,50.0
2681,Starred Up,2013,7.4,81,42566,74.0
2682,The Colony,2013,5.3,28,42536,53.0
2683,Dhoom:3,2013,5.4,61,42349,54.0
2684,Labor Day,2013,6.9,52,41816,69.0
2685,Planes,2013,5.7,39,41627,57.0
2686,The Fifth Estate,2013,6.2,49,38244,62.0
2687,Lovelace,2013,6.2,51,38033,62.0
2688,Hundraåringen som klev ut genom fönstret och försvann,2013,7.1,58,37633,71.0
2689,The Green Inferno,2013,5.3,38,37542,53.0
2690,Mandariinid,2013,8.2,73,37364,82.0
2691,The Smurfs 2,2013,5.3,34,36914,53.0
2692,The Railway Man,2013,7.1,59,36821,71.0
2693,Kaguyahime no monogatari,2013,8.0,89,36345,80.0
2694,The To Do List,2013,5.8,61,36156,58.0
2695,V/H/S/2,2013,6.0,49,35393,60.0
2696,Killing Season,2013,5.4,25,35336,54.0
2697,I Give It a Year,2013,5.7,50,35227,57.0
2698,Man of Tai Chi,2013,6.1,52,34885,61.0
2699,The Last Days on Mars,2013,5.5,46,34661,55.0
2700,Kill Your Darlings,2013,6.5,65,34625,65.0
2701,Paranoia,2013,5.7,32,34496,57.0
2702,Admission,2013,5.7,48,33015,57.0
2703,Curse of Chucky,2013,5.6,58,32893,56.0
2704,Adoration,2013,6.2,37,31683,62.0
2705,Welcome to the Punch,2013,6.1,49,31628,61.0
2706,Jeune et jolie,2013,6.7,63,31405,67.0
2707,Upstream Color,2013,6.7,81,30889,67.0
2708,Yi dai zong shi,2013,6.6,73,30793,66.0
2709,Kai po che!,2013,7.7,40,30584,77.0
2710,In a World...,2013,6.7,79,30531,67.0
2711,The Machine,2013,6.1,52,29725,61.0
2712,Alan Partridge: Alpha Papa,2013,6.9,66,29297,69.0
2713,The Immigrant,2013,6.6,77,29199,66.0
2714,No se aceptan devoluciones,2013,7.5,55,28576,75.0
2715,Hours,2013,6.4,55,27783,64.0
2716,How I Live Now,2013,6.5,57,27739,65.0
2717,Interstellar,2014,8.6,74,1447244,86.0
2718,Guardians of the Galaxy,2014,8.0,76,1022855,80.0
2719,Gone Girl,2014,8.1,79,832740,81.0
2720,Captain America: The Winter Soldier,2014,7.7,70,718687,77.0
2721,Whiplash,2014,8.5,88,690040,85.0
2722,The Grand Budapest Hotel,2014,8.1,88,687189,81.0
2723,The Imitation Game,2014,8.0,73,667569,80.0
2724,X-Men: Days of Future Past,2014,8.0,75,650151,80.0
2725,Edge of Tomorrow,2014,7.9,71,585821,79.0
2726,Kingsman: The Secret Service,2014,7.7,60,579044,77.0
2727,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87,566128,77.0
2728,John Wick,2014,7.4,68,519826,74.0
2729,The Hobbit: The Battle of the Five Armies,2014,7.4,59,463918,74.0
2730,Ex Machina,2014,7.7,78,462357,77.0
2731,Nightcrawler,2014,7.9,76,448627,79.0
2732,Lucy,2014,6.4,61,433658,64.0
2733,American Sniper,2014,7.3,72,429564,73.0
2734,Divergent,2014,6.7,48,418130,67.0
2735,Fury,2014,7.6,64,415009,76.0
2736,The Amazing Spider-Man 2,2014,6.6,53,409188,66.0
2737,The Maze Runner,2014,6.8,57,408594,68.0
2738,Dawn of the Planet of the Apes,2014,7.6,79,406529,76.0
2739,The Hunger Games: Mockingjay - Part 1,2014,6.6,64,404210,66.0
2740,Big Hero 6,2014,7.8,74,400676,78.0
2741,The Theory of Everything,2014,7.7,72,390070,77.0
2742,Godzilla,2014,6.4,62,369695,64.0
2743,22 Jump Street,2014,7.0,71,339097,70.0
2744,The Fault in Our Stars,2014,7.7,69,336936,77.0
2745,Maleficent,2014,7.0,56,336458,70.0
2746,Boyhood,2014,7.9,100,330685,79.0
2747,The Equalizer,2014,7.2,57,325260,72.0
2748,The Lego Movie,2014,7.7,83,319215,77.0
2749,The Interview,2014,6.5,52,301757,65.0
2750,How to Train Your Dragon 2,2014,7.8,76,298246,78.0
2751,Transformers: Age of Extinction,2014,5.6,32,294680,56.0
2752,Neighbors,2014,6.3,68,280780,63.0
2753,300: Rise of an Empire,2014,6.2,48,276535,62.0
2754,Non-Stop,2014,6.9,56,246378,69.0
2755,Predestination,2014,7.5,69,245699,75.0
2756,Noah,2014,5.7,68,239918,57.0
2757,RoboCop,2014,6.1,52,213700,61.0
2758,Transcendence,2014,6.3,42,213615,63.0
2759,It Follows,2014,6.8,83,203141,68.0
2760,Teenage Mutant Ninja Turtles,2014,5.8,31,198546,58.0
2761,The Babadook,2014,6.8,86,190252,68.0
2762,Chef,2014,7.3,68,190102,73.0
2763,Taken 3,2014,6.0,26,175592,60.0
2764,Dracula Untold,2014,6.3,40,173972,63.0
2765,The Judge,2014,7.4,48,173805,74.0
2766,Relatos salvajes,2014,8.1,77,170272,81.0
2767,A Million Ways to Die in the West,2014,6.1,44,169109,61.0
2768,The Expendables 3,2014,6.1,35,165896,61.0
2769,Need for Speed,2014,6.4,39,160965,64.0
2770,Exodus: Gods and Kings,2014,6.0,52,157462,60.0
2771,Horrible Bosses 2,2014,6.3,40,155013,63.0
2772,What We Do in the Shadows,2014,7.7,76,150469,77.0
2773,Sin City: A Dame to Kill For,2014,6.5,46,149952,65.0
2774,Hercules,2014,6.0,47,143715,60.0
2775,Unbroken,2014,7.2,59,142823,72.0
2776,The Drop,2014,7.1,69,139708,71.0
2777,Annabelle,2014,5.4,37,137016,54.0
2778,The Purge: Anarchy,2014,6.4,50,134409,64.0
2779,Foxcatcher,2014,7.0,81,132380,70.0
2780,Into the Woods,2014,5.9,69,129722,59.0
2781,The Other Woman,2014,6.0,39,128946,60.0
2782,Dumb and Dumber To,2014,5.6,36,126437,56.0
2783,Let's Be Cops,2014,6.4,30,125940,64.0
2784,Still Alice,2014,7.5,72,124315,75.0
2785,The Monuments Men,2014,6.1,52,122826,61.0
2786,Jack Ryan: Shadow Recruit,2014,6.2,57,120856,62.0
2787,Wild,2014,7.1,76,117769,71.0
2788,"Love, Rosie",2014,7.2,44,117240,72.0
2789,Blended,2014,6.5,31,115828,65.0
2790,If I Stay,2014,6.7,46,113791,67.0
2791,I Origins,2014,7.4,57,112853,74.0
2792,Serbuan maut 2: Berandal,2014,8.0,71,112012,80.0
2793,A Walk Among the Tombstones,2014,6.5,57,110638,65.0
2794,The Giver,2014,6.5,47,110292,65.0
2795,Sex Tape,2014,5.1,36,105837,51.0
2796,Pompeii,2014,5.5,39,105051,55.0
2797,Night at the Museum: Secret of the Tomb,2014,6.2,47,103173,62.0
2798,Ride Along,2014,6.2,41,100443,62.0
2799,That Awkward Moment,2014,6.1,36,96432,61.0
2800,Paddington,2014,7.2,77,94893,72.0
2801,St. Vincent,2014,7.2,64,94346,72.0
2802,Inherent Vice,2014,6.7,81,92306,67.0
2803,The Guest,2014,6.7,76,88712,67.0
2804,3 Days to Kill,2014,6.2,40,85800,62.0
2805,Selma,2014,7.5,81,84196,75.0
2806,Big Eyes,2014,7.0,62,83729,70.0
2807,Rio 2,2014,6.3,49,77925,63.0
2808,"I, Frankenstein",2014,5.1,30,77444,51.0
2809,Penguins of Madagascar,2014,6.7,53,77336,67.0
2810,The Hundred-Foot Journey,2014,7.3,55,74970,73.0
2811,"As Above, So Below",2014,6.2,38,73925,62.0
2812,Frank,2014,7.0,75,73848,70.0
2813,This Is Where I Leave You,2014,6.6,44,71348,66.0
2814,A Most Wanted Man,2014,6.8,73,71305,68.0
2815,The Water Diviner,2014,7.0,50,70333,70.0
2816,Seventh Son,2014,5.5,30,69960,55.0
2817,Before I Go to Sleep,2014,6.3,41,69852,63.0
2818,Deliver Us from Evil,2014,6.2,40,69363,62.0
2819,Unfriended,2014,5.5,59,66797,55.0
2820,A Most Violent Year,2014,7.0,79,65195,70.0
2821,The Gambler,2014,6.0,55,64646,60.0
2822,The Best of Me,2014,6.7,29,64575,67.0
2823,Two Night Stand,2014,6.4,45,64214,64.0
2824,Into the Storm,2014,5.8,44,63842,58.0
2825,The Book of Life,2014,7.3,67,63188,73.0
2826,Magic in the Moonlight,2014,6.5,54,62899,65.0
2827,The November Man,2014,6.3,38,62243,63.0
2828,The Signal,2014,6.1,54,61566,61.0
2829,Mr. Peabody & Sherman,2014,6.8,59,61007,68.0
2830,Sabotage,2014,5.7,41,58212,57.0
2831,Calvary,2014,7.4,77,55044,74.0
2832,Autómata,2014,6.1,37,53559,61.0
2833,The Boxtrolls,2014,6.8,61,53465,68.0
2834,Draft Day,2014,6.8,54,52657,68.0
2835,The Voices,2014,6.4,58,52113,64.0
2836,The Legend of Hercules,2014,4.2,22,52046,42.0
2837,Winter's Tale,2014,6.2,31,51394,62.0
2838,Citizenfour,2014,8.0,88,51292,80.0
2839,The Cobbler,2014,5.8,23,51129,58.0
2840,Vampire Academy,2014,5.5,31,51096,55.0
2841,The Loft,2014,6.3,24,50783,63.0
2842,Pride,2014,7.8,79,50607,78.0
2843,Before We Go,2014,6.8,31,50430,68.0
2844,Walk of Shame,2014,6.0,25,50314,60.0
2845,Eliza Graves,2014,6.8,52,50172,68.0
2846,Veronica Mars,2014,6.8,62,49748,68.0
2847,'71,2014,7.2,83,49698,72.0
2848,Song of the Sea,2014,8.1,85,49178,81.0
2849,Mommy,2014,8.1,74,48704,81.0
2850,Leviafan,2014,7.6,92,47999,76.0
2851,Turist,2014,7.3,87,47542,73.0
2852,Tammy,2014,4.9,39,47098,49.0
2853,Ouija,2014,4.5,38,46863,45.0
2854,While We're Young,2014,6.3,77,45869,63.0
2855,Tusk,2014,5.3,55,45337,53.0
2856,Hector and the Search for Happiness,2014,7.0,29,44496,70.0
2857,"Deux jours, une nuit",2014,7.3,89,44255,73.0
2858,Kis Uykusu,2014,8.1,88,43862,81.0
2859,The Rover,2014,6.4,64,43814,64.0
2860,Kill the Messenger,2014,6.9,60,43621,69.0
2861,Million Dollar Arm,2014,7.0,56,42851,70.0
2862,"Ich seh, Ich seh",2014,6.7,81,42086,67.0
2863,Laggies,2014,6.4,63,41241,64.0
2864,Time Lapse,2014,6.5,50,40449,65.0
2865,The Inbetweeners 2,2014,6.4,55,40260,64.0
2866,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,6.2,54,39925,62.0
2867,God's Not Dead,2014,4.7,16,39820,47.0
2868,Endless Love,2014,6.3,30,39798,63.0
2869,Brick Mansions,2014,5.7,40,39376,57.0
2870,The Skeleton Twins,2014,6.8,74,39327,68.0
2871,Paranormal Activity: The Marked Ones,2014,5.0,42,39180,50.0
2872,Pawn Sacrifice,2014,7.0,65,38777,70.0
2873,Camp X-Ray,2014,6.9,54,38746,69.0
2874,Creep,2014,6.3,74,38723,63.0
2875,Maps to the Stars,2014,6.2,67,37283,62.0
2876,Suffragette,2015,6.9,66,37259,69.0
2877,Left Behind,2014,3.1,12,36308,31.0
2878,Wish I Was Here,2014,6.7,43,36156,67.0
2879,The Salvation,2014,6.7,64,35369,67.0
2880,Love & Mercy,2014,7.4,80,35263,74.0
2881,Cake,2014,6.4,49,34797,64.0
2882,The One I Love,2014,7.1,66,34396,71.0
2883,Black Sea,2014,6.4,62,34129,64.0
2884,Cold in July,2014,6.8,73,33689,68.0
2885,Annie,2014,5.3,33,33359,53.0
2886,13 Sins,2014,6.3,44,32497,63.0
2887,Jersey Boys,2014,6.8,54,32385,68.0
2888,Step Up All In,2014,6.0,45,31996,60.0
2889,Housebound,2014,6.8,76,31382,68.0
2890,Muppets Most Wanted,2014,6.4,61,30924,64.0
2891,Big Game,2014,5.4,53,30645,54.0
2892,A Long Way Down,2014,6.4,34,30594,64.0
2893,Omoide no Mânî,2014,7.7,72,30556,77.0
2894,A Girl Walks Home Alone at Night,2014,7.0,81,29968,70.0
2895,"Men, Women & Children",2014,6.7,38,29930,67.0
2896,The Homesman,2014,6.6,68,29928,66.0
2897,The Captive,2014,5.9,36,29919,59.0
2898,99 Homes,2014,7.1,76,29556,71.0
2899,The Two Faces of January,2014,6.2,66,29088,62.0
2900,Clouds of Sils Maria,2014,6.7,79,27032,67.0
2901,X+Y,2014,7.1,65,26929,71.0
2902,The Good Lie,2014,7.4,65,26620,74.0
2903,White Bird in a Blizzard,2014,6.4,51,26602,64.0
2904,Serena,2014,5.4,36,26451,54.0
2905,The Nut Job,2014,5.7,37,26135,57.0
2906,The Woman in Black 2: Angel of Death,2014,4.8,42,26126,48.0
2907,Mad Max: Fury Road,2015,8.1,90,855907,81.0
2908,Star Wars: The Force Awakens,2015,7.9,80,844776,79.0
2909,The Martian,2015,8.0,80,740263,80.0
2910,Avengers: Age of Ultron,2015,7.3,66,722228,73.0
2911,The Revenant,2015,8.0,76,684482,80.0
2912,Inside Out,2015,8.1,94,592118,81.0
2913,Jurassic World,2015,7.0,59,569271,70.0
2914,Ant-Man,2015,7.3,64,553343,73.0
2915,The Hateful Eight,2015,7.8,68,498620,78.0
2916,Spotlight,2015,8.1,93,406504,81.0
2917,Spectre,2015,6.8,60,375919,68.0
2918,Sicario,2015,7.6,82,360303,76.0
2919,Room,2015,8.1,86,356756,81.0
2920,Fast & Furious 7,2015,7.1,67,353426,71.0
2921,The Big Short,2015,7.8,81,348558,78.0
2922,Mission: Impossible - Rogue Nation,2015,7.4,75,334355,74.0
2923,Fifty Shades of Grey,2015,4.1,46,293172,41.0
2924,Bridge of Spies,2015,7.6,81,281099,76.0
2925,The Hunger Games: Mockingjay - Part 2,2015,6.5,65,277178,65.0
2926,The Man from U.N.C.L.E.,2015,7.3,56,262361,73.0
2927,Terminator Genisys,2015,6.3,38,254695,63.0
2928,Creed,2015,7.6,82,241618,76.0
2929,Chappie,2015,6.8,41,225931,68.0
2930,Spy,2015,7.0,75,225875,70.0
2931,Maze Runner: The Scorch Trials,2015,6.3,43,216004,63.0
2932,Southpaw,2015,7.4,57,213124,74.0
2933,The Intern,2015,7.1,51,212839,71.0
2934,Insurgent,2015,6.2,42,212720,62.0
2935,Focus,2015,6.6,56,212306,66.0
2936,The Lobster,2015,7.2,82,209958,72.0
2937,Minions,2015,6.4,56,207683,64.0
2938,San Andreas,2015,6.1,43,207386,61.0
2939,Everest,2015,7.1,64,192863,71.0
2940,The VVitch: A New-England Folktale,2015,6.9,83,188769,69.0
2941,Ted 2,2015,6.3,48,180219,63.0
2942,Straight Outta Compton,2015,7.8,72,176103,78.0
2943,Jupiter Ascending,2015,5.3,40,175841,53.0
2944,Tomorrowland,2015,6.4,60,169526,64.0
2945,Black Mass,2015,6.9,68,164589,69.0
2946,The Danish Girl,2015,7.1,66,159614,71.0
2947,Cinderella,2015,6.9,67,155485,69.0
2948,Legend,2015,6.9,55,153619,69.0
2949,The Age of Adaline,2015,7.2,51,150550,72.0
2950,Steve Jobs,2015,7.2,82,150416,72.0
2951,Fantastic Four,2015,4.3,27,149111,43.0
2952,Pitch Perfect 2,2015,6.4,63,139486,64.0
2953,The Gift,2015,7.0,77,135705,70.0
2954,Pixels,2015,5.5,27,128908,55.0
2955,Brooklyn,2015,7.5,88,127745,75.0
2956,Trainwreck,2015,6.2,75,127684,62.0
2957,Crimson Peak,2015,6.5,66,126929,65.0
2958,Joy,2015,6.6,56,125507,66.0
2959,Me and Earl and the Dying Girl,2015,7.7,74,120601,77.0
2960,Get Hard,2015,6.0,34,120158,60.0
2961,In the Heart of the Sea,2015,6.9,47,119105,69.0
2962,The Walk,2015,7.3,70,117392,73.0
2963,Carol,2015,7.2,94,111723,72.0
2964,The Visit,2015,6.2,55,110549,62.0
2965,Daddy's Home,2015,6.2,42,105543,62.0
2966,Burnt,2015,6.6,42,103904,66.0
2967,Green Room,2015,7.0,79,103761,70.0
2968,Hotel Transylvania 2,2015,6.7,44,103635,67.0
2969,Run All Night,2015,6.6,59,99919,66.0
2970,The Good Dinosaur,2015,6.7,66,99257,67.0
2971,Vacation,2015,6.1,34,96608,61.0
2972,Paper Towns,2015,6.3,56,93378,63.0
2973,The Last Witch Hunter,2015,6.0,34,92906,60.0
2974,Insidious: Chapter 3,2015,6.1,52,90751,61.0
2975,Home,2015,6.6,55,90267,66.0
2976,The Invitation,2015,6.6,74,88450,66.0
2977,Self/less,2015,6.5,34,87691,65.0
2978,Demolition,2015,7.0,49,86321,70.0
2979,Hardcore Henry,2015,6.7,51,84621,67.0
2980,Concussion,2015,7.1,55,84510,71.0
2981,Hitman: Agent 47,2015,5.7,28,84222,57.0
2982,American Ultra,2015,6.1,50,82877,61.0
2983,Eddie the Eagle,2015,7.4,54,82800,74.0
2984,Bone Tomahawk,2015,7.1,72,82330,71.0
2985,The Duff,2015,6.5,56,81248,65.0
2986,Dope,2015,7.2,72,79789,72.0
2987,Goosebumps,2015,6.3,60,78504,63.0
2988,Eye in the Sky,2015,7.3,73,77438,73.0
2989,Knock Knock,2015,4.9,53,76678,49.0
2990,No Escape,2015,6.8,38,76426,68.0
2991,The Longest Ride,2015,7.1,33,75024,71.0
2992,Entourage,2015,6.6,38,74991,66.0
2993,Project Almanac,2015,6.4,47,74894,64.0
2994,Trumbo,2015,7.5,60,74650,75.0
2995,Beasts of No Nation,2015,7.7,79,71583,77.0
2996,Youth,2015,7.3,64,70051,73.0
2997,The Wedding Ringer,2015,6.6,35,69890,66.0
2998,Mortdecai,2015,5.5,27,65670,55.0
2999,Child 44,2015,6.5,41,64343,65.0
3000,Anomalisa,2015,7.3,88,63727,73.0
3001,The Night Before,2015,6.4,58,63374,64.0
3002,Sisters,2015,6.0,58,62029,60.0
3003,True Story,2015,6.3,50,61682,63.0
3004,Aloha,2015,5.4,40,60867,54.0
3005,Mr. Holmes,2015,6.9,67,60547,69.0
3006,Krampus,2015,6.1,49,60210,61.0
3007,Pan,2015,5.7,36,59183,57.0
3008,Point Break,2015,5.3,34,57339,53.0
3009,Irrational Man,2015,6.6,53,57046,66.0
3010,Le Petit Prince,2015,7.7,70,55074,77.0
3011,Solace,2015,6.4,36,54341,64.0
3012,Poltergeist,2015,4.9,47,54169,49.0
3013,Woman in Gold,2015,7.3,51,52598,73.0
3014,Macbeth,2015,6.6,71,51974,66.0
3015,The Dressmaker,2015,7.1,47,51700,71.0
3016,Blackhat,2015,5.4,51,51204,54.0
3017,Victor Frankenstein,2015,6.0,36,51195,60.0
3018,Magic Mike XXL,2015,5.6,60,51155,56.0
3019,Victoria,2015,7.6,77,50819,76.0
3020,Wild Card,2015,5.6,40,50059,56.0
3021,The Man Who Knew Infinity,2015,7.2,56,49463,72.0
3022,Masterminds,2016,5.8,47,49290,58.0
3023,Mr. Right,2015,6.3,52,49074,63.0
3024,Man Up,2015,6.8,69,47884,68.0
3025,Amy,2015,7.8,85,47596,78.0
3026,Hot Pursuit,2015,5.1,31,47593,51.0
3027,The SpongeBob Movie: Sponge Out of Water,2015,6.0,62,47459,60.0
3028,Yip Man 3,2015,7.1,57,47116,71.0
3029,Sinister 2,2015,5.3,32,46868,53.0
